Label,Region,Group,Multiply Labeled
4,3rd Ventricle,,
11,4th Ventricle,,
23,Right Accumbens Area,,
30,Left Accumbens Area,,
31,Right Amygdala,,
32,Left Amygdala,,
35,Brain Stem,,
36,Right Caudate,R_Caudate,
37,Left Caudate,L_Caudate,
38,Right Cerebellum Exterior,R_Cerebellum,
39,Left Cerebellum Exterior,L_Cerebellum,
40,Right Cerebellum White Matter,R_Cerebellum,
41,Left Cerebellum White Matter,L_Cerebellum,
44,Right Cerebral White Matter,R_WhiteMatter,
45,Left Cerebral White Matter,L_WhiteMatter,
47,Right Hippocampus,R_Hippocampus,
48,Left Hippocampus,L_Hippocampus,
49,Right Inf Lat Vent,,
50,Left Inf Lat Vent,,
51,Right Lateral Ventricle,,
52,Left Lateral Ventricle,,
55,Right Pallidum,,
56,Left Pallidum,,
57,Right Putamen,R_Putamen,
58,Left Putamen,L_Putamen,
59,Right Thalamus Proper,R_Thalamus,
60,Left Thalamus Proper,L_Thalamus,
61,Right Ventral DC,,
62,Left Ventral DC,,
71,Cerebellar Vermal Lobules I-V,,
72,Cerebellar Vermal Lobules VI-VII,,
73,Cerebellar Vermal Lobules VIII-X,,
75,Left Basal Forebrain,,
76,Right Basal Forebrain,,
100,Right ACgG anterior cingulate gyrus,R_AnteriorCingulate,R_Cingulate
101,Left ACgG anterior cingulate gyrus,L_AnteriorCingulate,L_Cingulate
102,Right AIns anterior insula,R_Insula,
103,Left AIns anterior insula,L_Insula,
104,Right AOrG anterior orbital gyrus,R_Frontal,
105,Left AOrG anterior orbital gyrus,L_Frontal,
106,Right AnG angular gyrus,R_InferiorParietal,R_Parietal
107,Left AnG angular gyrus,L_InferiorParietal,L_Parietal
108,Right Calc calcarine cortex,,
109,Left Calc calcarine cortex,,
112,Right CO central operculum,,
113,Left CO central operculum,,
114,Right Cun cuneus,,
115,Left Cun cuneus,,
116,Right Ent entorhinal area,R_Entorhinal,
117,Left Ent entorhinal area,L_Entorhinal,
118,Right FO frontal operculum,,
119,Left FO frontal operculum,,
120,Right FRP frontal pole,,
121,Left FRP frontal pole,,
122,Right FuG fusiform gyrus,R_Fusiform,R_Temporal
123,Left FuG fusiform gyrus,L_Fusiform,L_Temporal
124,Right GRe gyrus rectus,,
125,Left GRe gyrus rectus,,
128,Right IOG inferior occipital gyrus,,
129,Left IOG inferior occipital gyrus,,
132,Right ITG inferior temporal gyrus,R_Temporal,
133,Left ITG inferior temporal gyrus,L_Temporal,
134,Right LiG lingual gyrus,,
135,Left LiG lingual gyrus,,
136,Right LOrG lateral orbital gyrus,R_Frontal,
137,Left LOrG lateral orbital gyrus,L_Frontal,
138,Right MCgG middle cingulate gyrus,R_MiddleCingulate,R_Cingulate
139,Left MCgG middle cingulate gyrus,L_MiddleCingulate,L_Cingulate
140,Right MFC medial frontal cortex,R_Frontal,
141,Left MFC medial frontal cortex,L_Frontal,
142,Right MFG middle frontal gyrus,R_Frontal,
143,Left MFG middle frontal gyrus,L_Frontal,
144,Right MOG middle occipital gyrus,,
145,Left MOG middle occipital gyrus,,
146,Right MOrG medial orbital gyrus,R_Frontal,
147,Left MOrG medial orbital gyrus,L_Frontal,
148,Right MPoG postcentral gyrus medial segment,,
149,Left MPoG postcentral gyrus medial segment,,
150,Right MPrG precentral gyrus medial segment,R_Frontal,
151,Left MPrG precentral gyrus medial segment,L_Frontal,
152,Right MSFG superior frontal gyrus medial segment,R_Frontal,
153,Left MSFG superior frontal gyrus medial segment,L_Frontal,
154,Right MTG middle temporal gyrus,R_Temporal,
155,Left MTG middle temporal gyrus,L_Temporal,
156,Right OCP occipital pole,,
157,Left OCP occipital pole,,
160,Right OFuG occipital fusiform gyrus,,
161,Left OFuG occipital fusiform gyrus,,
162,Right OpIFG opercular part of the inferior frontal gyrus,R_Frontal,
163,Left OpIFG opercular part of the inferior frontal gyrus,L_Frontal,
164,Right OrIFG orbital part of the inferior frontal gyrus,R_Frontal,
165,Left OrIFG orbital part of the inferior frontal gyrus,L_Frontal,
166,Right PCgG posterior cingulate gyrus,R_PosteriorCingulate,R_Cingulate
167,Left PCgG posterior cingulate gyrus,L_PosteriorCingulate,L_Cingulate
168,Right PCu precuneus,R_Precuneus,R_Parietal
169,Left PCu precuneus,L_Precuneus,L_Parietal
170,Right PHG parahippocampal gyrus,R_Parahippocampus,
171,Left PHG parahippocampal gyrus,L_Parahippocampus,
172,Right PIns posterior insula,R_Insula,
173,Left PIns posterior insula,L_Insula,
174,Right PO parietal operculum,R_Parietal,
175,Left PO parietal operculum,L_Parietal,
176,Right PoG postcentral gyrus,R_Parietal,
177,Left PoG postcentral gyrus,L_Parietal,
178,Right POrG posterior orbital gyrus,R_Frontal,
179,Left POrG posterior orbital gyrus,L_Frontal,
180,Right PP planum polare,,
181,Left PP planum polare,,
182,Right PrG precentral gyrus,R_Frontal,
183,Left PrG precentral gyrus,L_Frontal,
184,Right PT planum temporale,,
185,Left PT planum temporale,,
186,Right SCA subcallosal area,R_Frontal,
187,Left SCA subcallosal area,L_Frontal,
190,Right SFG superior frontal gyrus,R_Frontal,
191,Left SFG superior frontal gyrus,L_Frontal,
192,Right SMC supplementary motor cortex,R_Frontal,
193,Left SMC supplementary motor cortex,L_Frontal,
194,Right SMG supramarginal gyrus,R_InferiorParietal,R_Parietal
195,Left SMG supramarginal gyrus,L_InferiorParietal,L_Parietal
196,Right SOG superior occipital gyrus,,
197,Left SOG superior occipital gyrus,,
198,Right SPL superior parietal lobule,R_Parietal,
199,Left SPL superior parietal lobule,L_Parietal,
200,Right STG superior temporal gyrus,R_Temporal,
201,Left STG superior temporal gyrus,L_Temporal,
202,Right TMP temporal pole,,
203,Left TMP temporal pole,,
204,Right TrIFG triangular part of the inferior frontal gyrus,R_Frontal,
205,Left TrIFG triangular part of the inferior frontal gyrus,L_Frontal,
206,Right TTG transverse temporal gyrus,R_Temporal,
207,Left TTG transverse temporal gyrus,L_Temporal,